station,hour,day_type,crowd_level
Miyapur,6,weekday,High
Miyapur,7,weekday,Medium
Miyapur,8,weekday,Medium
Miyapur,10,weekday,Medium
Miyapur,11,weekday,High
Miyapur,12,weekday,High
Miyapur,13,weekday,Low
Miyapur,14,weekday,Medium
Miyapur,15,weekday,Low
Miyapur,16,weekday,Low
Miyapur,17,weekday,Medium
Miyapur,18,weekday,Low
Miyapur,19,weekday,High
Miyapur,20,weekday,Low
Miyapur,21,weekday,Low
Miyapur,22,weekday,Low
Miyapur,7,weekend,Low
Miyapur,8,weekend,Medium
Miyapur,10,weekend,Low
Miyapur,11,weekend,Medium
Miyapur,12,weekend,High
Miyapur,13,weekend,High
Miyapur,14,weekend,Low
Miyapur,15,weekend,Medium
Miyapur,16,weekend,Medium
Miyapur,18,weekend,Medium
Miyapur,19,weekend,Low
Miyapur,20,weekend,Medium
Miyapur,22,weekend,Low
JNTU College,6,weekday,Low
JNTU College,7,weekday,Medium
JNTU College,8,weekday,Medium
JNTU College,9,weekday,High
JNTU College,12,weekday,Low
JNTU College,13,weekday,Low
JNTU College,14,weekday,Medium
JNTU College,15,weekday,Medium
JNTU College,16,weekday,Medium
JNTU College,18,weekday,High
JNTU College,20,weekday,High
JNTU College,21,weekday,Medium
JNTU College,22,weekday,Low
JNTU College,6,weekend,Medium
JNTU College,7,weekend,Low
JNTU College,8,weekend,Low
JNTU College,10,weekend,Low
JNTU College,11,weekend,Low
JNTU College,12,weekend,Low
JNTU College,13,weekend,Medium
JNTU College,14,weekend,Low
JNTU College,16,weekend,Medium
JNTU College,17,weekend,Low
JNTU College,19,weekend,Medium
JNTU College,20,weekend,High
JNTU College,21,weekend,Low
JNTU College,22,weekend,Low
KPHB Colony,6,weekday,Medium
KPHB Colony,7,weekday,Low
KPHB Colony,9,weekday,Medium
KPHB Colony,10,weekday,Low
KPHB Colony,12,weekday,Medium
KPHB Colony,13,weekday,Low
KPHB Colony,14,weekday,High
KPHB Colony,15,weekday,Medium
KPHB Colony,16,weekday,Low
KPHB Colony,17,weekday,High
KPHB Colony,18,weekday,Low
KPHB Colony,19,weekday,Medium
KPHB Colony,21,weekday,Low
KPHB Colony,22,weekday,Medium
KPHB Colony,6,weekend,Low
KPHB Colony,7,weekend,Medium
KPHB Colony,8,weekend,High
KPHB Colony,9,weekend,High
KPHB Colony,12,weekend,Medium
KPHB Colony,13,weekend,Medium
KPHB Colony,14,weekend,Low
KPHB Colony,15,weekend,Medium
KPHB Colony,16,weekend,Low
KPHB Colony,17,weekend,High
KPHB Colony,18,weekend,Medium
KPHB Colony,19,weekend,Low
KPHB Colony,20,weekend,Low
KPHB Colony,21,weekend,Low
KPHB Colony,22,weekend,Low
Ameerpet,6,weekday,Medium
Ameerpet,7,weekday,Medium
Ameerpet,8,weekday,High
Ameerpet,10,weekday,Low
Ameerpet,11,weekday,High
Ameerpet,13,weekday,Low
Ameerpet,15,weekday,High
Ameerpet,16,weekday,High
Ameerpet,17,weekday,High
Ameerpet,18,weekday,Low
Ameerpet,19,weekday,Medium
Ameerpet,20,weekday,Medium
Ameerpet,6,weekend,Low
Ameerpet,7,weekend,Medium
Ameerpet,9,weekend,Medium
Ameerpet,10,weekend,High
Ameerpet,11,weekend,Medium
Ameerpet,13,weekend,Low
Ameerpet,14,weekend,High
Ameerpet,15,weekend,Low
Ameerpet,16,weekend,High
Ameerpet,18,weekend,Medium
Ameerpet,19,weekend,Medium
Ameerpet,20,weekend,Medium
Ameerpet,22,weekend,Low
SR Nagar,6,weekday,Low
SR Nagar,7,weekday,Medium
SR Nagar,8,weekday,Low
SR Nagar,9,weekday,Medium
SR Nagar,12,weekday,Medium
SR Nagar,13,weekday,Low
SR Nagar,16,weekday,High
SR Nagar,17,weekday,Low
SR Nagar,18,weekday,Low
SR Nagar,19,weekday,High
SR Nagar,20,weekday,Medium
SR Nagar,21,weekday,Low
SR Nagar,22,weekday,Medium
SR Nagar,6,weekend,Low
SR Nagar,7,weekend,Low
SR Nagar,8,weekend,High
SR Nagar,9,weekend,Medium
SR Nagar,10,weekend,Low
SR Nagar,11,weekend,High
SR Nagar,12,weekend,Medium
SR Nagar,13,weekend,Low
SR Nagar,14,weekend,Medium
SR Nagar,15,weekend,Low
SR Nagar,16,weekend,High
SR Nagar,17,weekend,Low
SR Nagar,19,weekend,Low
SR Nagar,20,weekend,High
SR Nagar,21,weekend,Low
LB Nagar,6,weekday,Low
LB Nagar,8,weekday,High
LB Nagar,9,weekday,Low
LB Nagar,11,weekday,Low
LB Nagar,12,weekday,Low
LB Nagar,15,weekday,Low
LB Nagar,16,weekday,Low
LB Nagar,17,weekday,Low
LB Nagar,18,weekday,Low
LB Nagar,19,weekday,Medium
LB Nagar,20,weekday,High
LB Nagar,6,weekend,Low
LB Nagar,7,weekend,Medium
LB Nagar,8,weekend,Medium
LB Nagar,9,weekend,High
LB Nagar,10,weekend,Low
LB Nagar,12,weekend,Low
LB Nagar,13,weekend,Low
LB Nagar,14,weekend,Low
LB Nagar,15,weekend,Low
LB Nagar,16,weekend,Low
LB Nagar,17,weekend,High
LB Nagar,18,weekend,Low
LB Nagar,19,weekend,Low
LB Nagar,20,weekend,Medium
LB Nagar,21,weekend,Low
LB Nagar,22,weekend,High
Nagole,7,weekday,Low
Nagole,8,weekday,Low
Nagole,9,weekday,High
Nagole,10,weekday,Medium
Nagole,11,weekday,Low
Nagole,12,weekday,Medium
Nagole,13,weekday,Medium
Nagole,14,weekday,Medium
Nagole,15,weekday,Medium
Nagole,17,weekday,Low
Nagole,18,weekday,Medium
Nagole,19,weekday,High
Nagole,20,weekday,Medium
Nagole,21,weekday,Low
Nagole,22,weekday,Low
Nagole,6,weekend,Low
Nagole,8,weekend,High
Nagole,9,weekend,Medium
Nagole,10,weekend,Medium
Nagole,11,weekend,Low
Nagole,12,weekend,Medium
Nagole,13,weekend,High
Nagole,14,weekend,Low
Nagole,15,weekend,High
